Timestamp,Answer,Input file,Properties
14:09:52 26/09,3.54614,Tunnel.geo, phidash:2596=38.812504155586595 uw:2594=22.859260986345713
14:10:12 26/09,3.54791,Tunnel.geo, phidash:2596=39.35810814137492 uw:2594=23.088184232211642
14:10:34 26/09,3.54727,Tunnel.geo, phidash:2596=39.12920399437466 uw:2594=22.942957111890248
14:10:57 26/09,3.54672,Tunnel.geo, phidash:2596=38.997532261799805 uw:2594=22.946875301453673
14:11:18 26/09,3.5464,Tunnel.geo, phidash:2596=38.96091334827403 uw:2594=23.018790505601192
14:11:40 26/09,3.54626,Tunnel.geo, phidash:2596=38.92199485316298 uw:2594=23.010565282316087
14:12:08 26/09,3.54724,Tunnel.geo, phidash:2596=39.104989380249464 uw:2594=22.914461577854084
14:12:34 26/09,3.54754,Tunnel.geo, phidash:2596=39.219371702453074 uw:2594=22.991689915120244
14:13:01 26/09,3.54641,Tunnel.geo, phidash:2596=38.91724539377992 uw:2594=22.934952239113368
14:13:26 26/09,3.5468,Tunnel.geo, phidash:2596=38.990868905640376 uw:2594=22.895627661633313
